Seat 0: Row 0, Col 0
Seat 196687: Row 3, Col 79
Seat 196689: Row 3, Col 81
Seat 196690: Row 3, Col 82
Seat 196691: Row 3, Col 83
Seat 196692: Row 3, Col 84
Seat 196693: Row 3, Col 85
Seat 196695: Row 3, Col 87
Seat 196696: Row 3, Col 88
Seat 196697: Row 3, Col 89
Seat 196698: Row 3, Col 90
Seat 196699: Row 3, Col 91
Seat 196700: Row 3, Col 92
Seat 196702: Row 3, Col 94
Seat 196703: Row 3, Col 95
Seat 196704: Row 3, Col 96
Seat 196705: Row 3, Col 97
Seat 262144: Row 4, Col 0
Seat 262145: Row 4, Col 1
Seat 262146: Row 4, Col 2
Seat 262147: Row 4, Col 3
Seat 262148: Row 4, Col 4
Seat 262149: Row 4, Col 5
Seat 262153: Row 4, Col 9
Seat 262154: Row 4, Col 10
Seat 262155: Row 4, Col 11
Seat 262156: Row 4, Col 12
Seat 262157: Row 4, Col 13
Seat 262158: Row 4, Col 14
Seat 262159: Row 4, Col 15
Seat 262160: Row 4, Col 16
Seat 262161: Row 4, Col 17
Seat 262162: Row 4, Col 18
Seat 262163: Row 4, Col 19
Seat 262164: Row 4, Col 20
Seat 262165: Row 4, Col 21
Seat 262166: Row 4, Col 22
Seat 262167: Row 4, Col 23
Seat 262168: Row 4, Col 24
Seat 262169: Row 4, Col 25
Seat 262170: Row 4, Col 26
Seat 262171: Row 4, Col 27
Seat 262173: Row 4, Col 29
Seat 262174: Row 4, Col 30
Seat 262175: Row 4, Col 31
Seat 262176: Row 4, Col 32
Seat 262177: Row 4, Col 33
Seat 262178: Row 4, Col 34
Seat 262180: Row 4, Col 36
Seat 262181: Row 4, Col 37
Seat 262182: Row 4, Col 38
Seat 262183: Row 4, Col 39
Seat 262184: Row 4, Col 40
Seat 262185: Row 4, Col 41
Seat 262186: Row 4, Col 42
Seat 262188: Row 4, Col 44
Seat 262189: Row 4, Col 45
Seat 262190: Row 4, Col 46
Seat 262191: Row 4, Col 47
Seat 262192: Row 4, Col 48
Seat 262194: Row 4, Col 50
Seat 262195: Row 4, Col 51
Seat 262196: Row 4, Col 52
Seat 262197: Row 4, Col 53
Seat 262198: Row 4, Col 54
Seat 262199: Row 4, Col 55
Seat 262200: Row 4, Col 56
Seat 262201: Row 4, Col 57
Seat 262202: Row 4, Col 58
Seat 262203: Row 4, Col 59
Seat 262205: Row 4, Col 61
Seat 262206: Row 4, Col 62
Seat 262207: Row 4, Col 63
Seat 262208: Row 4, Col 64
Seat 262209: Row 4, Col 65
Seat 262210: Row 4, Col 66
Seat 262211: Row 4, Col 67
Seat 262212: Row 4, Col 68
Seat 262214: Row 4, Col 70
Seat 262215: Row 4, Col 71
Seat 262216: Row 4, Col 72
Seat 262217: Row 4, Col 73
Seat 262218: Row 4, Col 74
Seat 262219: Row 4, Col 75
Seat 262220: Row 4, Col 76
Seat 262221: Row 4, Col 77
Seat 262222: Row 4, Col 78
Seat 262223: Row 4, Col 79
Seat 262224: Row 4, Col 80
Seat 262225: Row 4, Col 81
Seat 262226: Row 4, Col 82
Seat 262227: Row 4, Col 83
Seat 262228: Row 4, Col 84
Seat 262229: Row 4, Col 85
Seat 262231: Row 4, Col 87
Seat 262232: Row 4, Col 88
Seat 262233: Row 4, Col 89
Seat 262234: Row 4, Col 90
Seat 262235: Row 4, Col 91
Seat 262237: Row 4, Col 93
Seat 262238: Row 4, Col 94
Seat 262239: Row 4, Col 95
Seat 262240: Row 4, Col 96
Seat 262241: Row 4, Col 97
Seat 327680: Row 5, Col 0
Seat 327681: Row 5, Col 1
Seat 327682: Row 5, Col 2
Seat 327683: Row 5, Col 3
Seat 327684: Row 5, Col 4
Seat 327685: Row 5, Col 5
Seat 327686: Row 5, Col 6
Seat 327687: Row 5, Col 7
Seat 327688: Row 5, Col 8
Seat 327689: Row 5, Col 9
Seat 327690: Row 5, Col 10
Seat 327691: Row 5, Col 11
Seat 327692: Row 5, Col 12
Seat 327694: Row 5, Col 14
Seat 327695: Row 5, Col 15
Seat 327696: Row 5, Col 16
Seat 327697: Row 5, Col 17
Seat 327698: Row 5, Col 18
Seat 327700: Row 5, Col 20
Seat 327701: Row 5, Col 21
Seat 327702: Row 5, Col 22
Seat 327703: Row 5, Col 23
Seat 327704: Row 5, Col 24
Seat 327705: Row 5, Col 25
Seat 327706: Row 5, Col 26
Seat 327707: Row 5, Col 27
Seat 327708: Row 5, Col 28
Seat 327709: Row 5, Col 29
Seat 327710: Row 5, Col 30
Seat 327711: Row 5, Col 31
Seat 327712: Row 5, Col 32
Seat 327713: Row 5, Col 33
Seat 327714: Row 5, Col 34
Seat 327715: Row 5, Col 35
Seat 327716: Row 5, Col 36
Seat 327717: Row 5, Col 37
Seat 327718: Row 5, Col 38
Seat 327719: Row 5, Col 39
Seat 327720: Row 5, Col 40
Seat 327721: Row 5, Col 41
Seat 327722: Row 5, Col 42
Seat 327724: Row 5, Col 44
Seat 327725: Row 5, Col 45
Seat 327726: Row 5, Col 46
Seat 327727: Row 5, Col 47
Seat 327729: Row 5, Col 49
Seat 327730: Row 5, Col 50
Seat 327731: Row 5, Col 51
Seat 327732: Row 5, Col 52
Seat 327734: Row 5, Col 54
Seat 327735: Row 5, Col 55
Seat 327736: Row 5, Col 56
Seat 327737: Row 5, Col 57
Seat 327738: Row 5, Col 58
Seat 327739: Row 5, Col 59
Seat 327741: Row 5, Col 61
Seat 327742: Row 5, Col 62
Seat 327743: Row 5, Col 63
Seat 327744: Row 5, Col 64
Seat 327745: Row 5, Col 65
Seat 327746: Row 5, Col 66
Seat 327747: Row 5, Col 67
Seat 327748: Row 5, Col 68
Seat 327749: Row 5, Col 69
Seat 327750: Row 5, Col 70
Seat 327751: Row 5, Col 71
Seat 327752: Row 5, Col 72
Seat 327753: Row 5, Col 73
Seat 327754: Row 5, Col 74
Seat 327755: Row 5, Col 75
Seat 327756: Row 5, Col 76
Seat 327757: Row 5, Col 77
Seat 327758: Row 5, Col 78
Seat 327759: Row 5, Col 79
Seat 327761: Row 5, Col 81
Seat 327762: Row 5, Col 82
Seat 327763: Row 5, Col 83
Seat 327764: Row 5, Col 84
Seat 327765: Row 5, Col 85
Seat 327767: Row 5, Col 87
Seat 327768: Row 5, Col 88
Seat 327769: Row 5, Col 89
Seat 327770: Row 5, Col 90
Seat 327771: Row 5, Col 91
Seat 327773: Row 5, Col 93
Seat 327775: Row 5, Col 95
Seat 327776: Row 5, Col 96
Seat 327777: Row 5, Col 97
Seat 393216: Row 6, Col 0
Seat 393217: Row 6, Col 1
Seat 393218: Row 6, Col 2
Seat 393219: Row 6, Col 3
Seat 393220: Row 6, Col 4
Seat 393221: Row 6, Col 5
Seat 393222: Row 6, Col 6
Seat 393223: Row 6, Col 7
Seat 393224: Row 6, Col 8
Seat 393225: Row 6, Col 9
Seat 393226: Row 6, Col 10
Seat 393227: Row 6, Col 11
Seat 393228: Row 6, Col 12
Seat 393230: Row 6, Col 14
Seat 393231: Row 6, Col 15
Seat 393232: Row 6, Col 16
Seat 393233: Row 6, Col 17
Seat 393234: Row 6, Col 18
Seat 393236: Row 6, Col 20
Seat 393237: Row 6, Col 21
Seat 393238: Row 6, Col 22
Seat 393239: Row 6, Col 23
Seat 393240: Row 6, Col 24
Seat 393241: Row 6, Col 25
Seat 393242: Row 6, Col 26
Seat 393243: Row 6, Col 27
Seat 393245: Row 6, Col 29
Seat 393246: Row 6, Col 30
Seat 393247: Row 6, Col 31
Seat 393248: Row 6, Col 32
Seat 393249: Row 6, Col 33
Seat 393250: Row 6, Col 34
Seat 393251: Row 6, Col 35
Seat 393252: Row 6, Col 36
Seat 393253: Row 6, Col 37
Seat 393254: Row 6, Col 38
Seat 393255: Row 6, Col 39
Seat 393256: Row 6, Col 40
Seat 393257: Row 6, Col 41
Seat 393258: Row 6, Col 42
Seat 393261: Row 6, Col 45
Seat 393262: Row 6, Col 46
Seat 393263: Row 6, Col 47
Seat 393264: Row 6, Col 48
Seat 393266: Row 6, Col 50
Seat 393267: Row 6, Col 51
Seat 393268: Row 6, Col 52
Seat 393269: Row 6, Col 53
Seat 393271: Row 6, Col 55
Seat 393272: Row 6, Col 56
Seat 393273: Row 6, Col 57
Seat 393274: Row 6, Col 58
Seat 393275: Row 6, Col 59
Seat 393277: Row 6, Col 61
Seat 393278: Row 6, Col 62
Seat 393279: Row 6, Col 63
Seat 393280: Row 6, Col 64
Seat 393281: Row 6, Col 65
Seat 393282: Row 6, Col 66
Seat 393283: Row 6, Col 67
Seat 393284: Row 6, Col 68
Seat 393286: Row 6, Col 70
Seat 393287: Row 6, Col 71
Seat 393288: Row 6, Col 72
Seat 393289: Row 6, Col 73
Seat 393290: Row 6, Col 74
Seat 393291: Row 6, Col 75
Seat 393293: Row 6, Col 77
Seat 393294: Row 6, Col 78
Seat 393295: Row 6, Col 79
Seat 393297: Row 6, Col 81
Seat 393298: Row 6, Col 82
Seat 393299: Row 6, Col 83
Seat 393300: Row 6, Col 84
Seat 393301: Row 6, Col 85
Seat 393302: Row 6, Col 86
Seat 393303: Row 6, Col 87
Seat 393304: Row 6, Col 88
Seat 393305: Row 6, Col 89
Seat 393306: Row 6, Col 90
Seat 393307: Row 6, Col 91
Seat 393308: Row 6, Col 92
Seat 393309: Row 6, Col 93
Seat 393310: Row 6, Col 94
Seat 393311: Row 6, Col 95
Seat 393312: Row 6, Col 96
Seat 393313: Row 6, Col 97
Seat 458752: Row 7, Col 0
Seat 458753: Row 7, Col 1
Seat 458754: Row 7, Col 2
Seat 458755: Row 7, Col 3
Seat 458756: Row 7, Col 4
Seat 458757: Row 7, Col 5
Seat 458758: Row 7, Col 6
Seat 458759: Row 7, Col 7
Seat 458760: Row 7, Col 8
Seat 458761: Row 7, Col 9
Seat 458762: Row 7, Col 10
Seat 458763: Row 7, Col 11
Seat 458764: Row 7, Col 12
Seat 458766: Row 7, Col 14
Seat 458767: Row 7, Col 15
Seat 458768: Row 7, Col 16
Seat 458769: Row 7, Col 17
Seat 458770: Row 7, Col 18
Seat 458772: Row 7, Col 20
Seat 458773: Row 7, Col 21
Seat 458774: Row 7, Col 22
Seat 458775: Row 7, Col 23
Seat 458776: Row 7, Col 24
Seat 458777: Row 7, Col 25
Seat 458778: Row 7, Col 26
Seat 458779: Row 7, Col 27
Seat 458781: Row 7, Col 29
Seat 458782: Row 7, Col 30
Seat 458783: Row 7, Col 31
Seat 458784: Row 7, Col 32
Seat 458785: Row 7, Col 33
Seat 458786: Row 7, Col 34
Seat 458787: Row 7, Col 35
Seat 458788: Row 7, Col 36
Seat 458789: Row 7, Col 37
Seat 458790: Row 7, Col 38
Seat 458791: Row 7, Col 39
Seat 458792: Row 7, Col 40
Seat 458793: Row 7, Col 41
Seat 458794: Row 7, Col 42
Seat 458795: Row 7, Col 43
Seat 458796: Row 7, Col 44
Seat 458797: Row 7, Col 45
Seat 458798: Row 7, Col 46
Seat 458799: Row 7, Col 47
Seat 458800: Row 7, Col 48
Seat 458801: Row 7, Col 49
Seat 458802: Row 7, Col 50
Seat 458803: Row 7, Col 51
Seat 458804: Row 7, Col 52
Seat 458805: Row 7, Col 53
Seat 458807: Row 7, Col 55
Seat 458808: Row 7, Col 56
Seat 458809: Row 7, Col 57
Seat 458810: Row 7, Col 58
Seat 458811: Row 7, Col 59
Seat 458813: Row 7, Col 61
Seat 458814: Row 7, Col 62
Seat 458815: Row 7, Col 63
Seat 458816: Row 7, Col 64
Seat 458817: Row 7, Col 65
Seat 458818: Row 7, Col 66
Seat 458819: Row 7, Col 67
Seat 458822: Row 7, Col 70
Seat 458823: Row 7, Col 71
Seat 458824: Row 7, Col 72
Seat 458825: Row 7, Col 73
Seat 458827: Row 7, Col 75
Seat 458828: Row 7, Col 76
Seat 458829: Row 7, Col 77
Seat 458830: Row 7, Col 78
Seat 458831: Row 7, Col 79
Seat 458833: Row 7, Col 81
Seat 458834: Row 7, Col 82
Seat 458835: Row 7, Col 83
Seat 458836: Row 7, Col 84
Seat 458837: Row 7, Col 85
Seat 458839: Row 7, Col 87
Seat 458841: Row 7, Col 89
Seat 458842: Row 7, Col 90
Seat 458843: Row 7, Col 91
Seat 458844: Row 7, Col 92
Seat 458845: Row 7, Col 93
Seat 458846: Row 7, Col 94
Seat 458847: Row 7, Col 95
Seat 458848: Row 7, Col 96
Seat 458849: Row 7, Col 97
Seat 524288: Row 8, Col 0
Seat 524289: Row 8, Col 1
Seat 524290: Row 8, Col 2
Seat 524291: Row 8, Col 3
Seat 524292: Row 8, Col 4
Seat 524295: Row 8, Col 7
Seat 524296: Row 8, Col 8
Seat 524297: Row 8, Col 9
Seat 524298: Row 8, Col 10
Seat 524299: Row 8, Col 11
Seat 524300: Row 8, Col 12
Seat 524302: Row 8, Col 14
Seat 524303: Row 8, Col 15
Seat 524304: Row 8, Col 16
Seat 524305: Row 8, Col 17
Seat 524306: Row 8, Col 18
Seat 524307: Row 8, Col 19
Seat 524308: Row 8, Col 20
Seat 524309: Row 8, Col 21
Seat 524310: Row 8, Col 22
Seat 524311: Row 8, Col 23
Seat 524312: Row 8, Col 24
Seat 524313: Row 8, Col 25
Seat 524314: Row 8, Col 26
Seat 524315: Row 8, Col 27
Seat 524317: Row 8, Col 29
Seat 524318: Row 8, Col 30
Seat 524319: Row 8, Col 31
Seat 524320: Row 8, Col 32
Seat 524321: Row 8, Col 33
Seat 524322: Row 8, Col 34
Seat 524323: Row 8, Col 35
Seat 524324: Row 8, Col 36
Seat 524325: Row 8, Col 37
Seat 524326: Row 8, Col 38
Seat 524327: Row 8, Col 39
Seat 524328: Row 8, Col 40
Seat 524329: Row 8, Col 41
Seat 524330: Row 8, Col 42
Seat 524331: Row 8, Col 43
Seat 524332: Row 8, Col 44
Seat 524333: Row 8, Col 45
Seat 524334: Row 8, Col 46
Seat 524335: Row 8, Col 47
Seat 524336: Row 8, Col 48
Seat 524338: Row 8, Col 50
Seat 524339: Row 8, Col 51
Seat 524340: Row 8, Col 52
Seat 524341: Row 8, Col 53
Seat 524343: Row 8, Col 55
Seat 524344: Row 8, Col 56
Seat 524345: Row 8, Col 57
Seat 524346: Row 8, Col 58
Seat 524347: Row 8, Col 59
Seat 524348: Row 8, Col 60
Seat 524349: Row 8, Col 61
Seat 524350: Row 8, Col 62
Seat 524351: Row 8, Col 63
Seat 524352: Row 8, Col 64
Seat 524353: Row 8, Col 65
Seat 524354: Row 8, Col 66
Seat 524355: Row 8, Col 67
Seat 524356: Row 8, Col 68
Seat 524358: Row 8, Col 70
Seat 524359: Row 8, Col 71
Seat 524360: Row 8, Col 72
Seat 524361: Row 8, Col 73
Seat 524363: Row 8, Col 75
Seat 524364: Row 8, Col 76
Seat 524365: Row 8, Col 77
Seat 524366: Row 8, Col 78
Seat 524367: Row 8, Col 79
Seat 524368: Row 8, Col 80
Seat 524369: Row 8, Col 81
Seat 524370: Row 8, Col 82
Seat 524371: Row 8, Col 83
Seat 524373: Row 8, Col 85
Seat 524375: Row 8, Col 87
Seat 524376: Row 8, Col 88
Seat 524377: Row 8, Col 89
Seat 524378: Row 8, Col 90
Seat 524379: Row 8, Col 91
Seat 524381: Row 8, Col 93
Seat 524382: Row 8, Col 94
Seat 524383: Row 8, Col 95
Seat 524384: Row 8, Col 96
Seat 524385: Row 8, Col 97
Seat 589824: Row 9, Col 0
Seat 589825: Row 9, Col 1
Seat 589826: Row 9, Col 2
Seat 589827: Row 9, Col 3
Seat 589828: Row 9, Col 4
Seat 589829: Row 9, Col 5
Seat 589831: Row 9, Col 7
Seat 589832: Row 9, Col 8
Seat 589833: Row 9, Col 9
Seat 589834: Row 9, Col 10
Seat 589835: Row 9, Col 11
Seat 589836: Row 9, Col 12
Seat 589838: Row 9, Col 14
Seat 589839: Row 9, Col 15
Seat 589840: Row 9, Col 16
Seat 589841: Row 9, Col 17
Seat 589842: Row 9, Col 18
Seat 589844: Row 9, Col 20
Seat 589845: Row 9, Col 21
Seat 589846: Row 9, Col 22
Seat 589847: Row 9, Col 23
Seat 589848: Row 9, Col 24
Seat 589849: Row 9, Col 25
Seat 589850: Row 9, Col 26
Seat 589851: Row 9, Col 27
Seat 589853: Row 9, Col 29
Seat 589854: Row 9, Col 30
Seat 589855: Row 9, Col 31
Seat 589856: Row 9, Col 32
Seat 589857: Row 9, Col 33
Seat 589858: Row 9, Col 34
Seat 589860: Row 9, Col 36
Seat 589861: Row 9, Col 37
Seat 589862: Row 9, Col 38
Seat 589863: Row 9, Col 39
Seat 589864: Row 9, Col 40
Seat 589865: Row 9, Col 41
Seat 589866: Row 9, Col 42
Seat 589868: Row 9, Col 44
Seat 589869: Row 9, Col 45
Seat 589870: Row 9, Col 46
Seat 589871: Row 9, Col 47
Seat 589872: Row 9, Col 48
Seat 589874: Row 9, Col 50
Seat 589875: Row 9, Col 51
